GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JabRef,org.jabref.logic.msbib,MSBibEntry,8,981,7,61,2,189,8,44,1,17
JabRef,org.jabref.logic.msbib,MSBibEntryType,0,105,0,0,0,18,0,1,0,1
JabRef,org.jabref.logic.msbib,MSBibConverter,35,440,7,35,4,66,8,28,1,14
JabRef,org.jabref.logic.msbib,BibTeXConverter,6,315,2,26,1,62,2,16,0,4
JabRef,org.jabref.logic.msbib,MSBibMapping,0,686,0,0,0,117,0,7,0,7
JabRef,org.jabref.logic.msbib,MSBibDatabase,22,195,3,9,7,51,3,9,0,6
JabRef,org.jabref.logic.msbib,PageNumbers,59,47,2,4,14,13,3,6,2,4
JabRef,org.jabref.logic.msbib,MsBibAuthor,7,91,1,5,1,24,1,11,0,9
JabRef,org.jabref.gui.help,ErrorConsoleAction,13,0,0,0,4,0,2,0,2,0
JabRef,org.jabref.gui.help,VersionWorker,176,0,16,0,37,0,19,0,11,0
JabRef,org.jabref.gui.help,AboutDialogViewModel,272,0,4,0,62,0,26,0,24,0
JabRef,org.jabref.gui.help,NewVersionDialog,161,0,4,0,24,0,5,0,3,0
JabRef,org.jabref.gui.help,AboutAction,20,0,0,0,7,0,3,0,3,0
JabRef,org.jabref.gui.help,SearchForUpdateAction,35,0,0,0,10,0,2,0,2,0
JabRef,org.jabref.gui.help,AboutDialogView,86,0,0,0,30,0,13,0,13,0
JabRef,org.jabref.gui.help,HelpAction,35,0,0,0,11,0,3,0,3,0
JabRef,org.jabref.gui.preferences.protectedterms,NewProtectedTermsFileDialog,194,0,2,0,26,0,5,0,4,0
JabRef,org.jabref.gui.preferences.protectedterms,ProtectedTermsTabViewModel,343,0,16,0,81,0,20,0,12,0
JabRef,org.jabref.gui.preferences.protectedterms,ProtectedTermsListItemModel,51,0,0,0,11,0,6,0,6,0
JabRef,org.jabref.gui.preferences.protectedterms,ProtectedTermsTab,259,0,2,0,47,0,20,0,19,0
JabRef,org.jabref.gui.preferences.protectedterms,ProtectedTermsTab.ContextAction,68,0,9,0,14,0,8,0,2,0
JabRef,org.jabref.logic.openoffice.action,EditMerge,443,0,58,0,110,0,35,0,6,0
JabRef,org.jabref.logic.openoffice.action,Update,64,0,4,0,14,0,5,0,3,0
JabRef,org.jabref.logic.openoffice.action,EditSeparate,103,0,8,0,27,0,5,0,1,0
JabRef,org.jabref.logic.openoffice.action,ExportCited.GenerateDatabaseResult,9,0,0,0,4,0,1,0,1,0
JabRef,org.jabref.logic.openoffice.action,ExportCited,111,0,8,0,27,0,6,0,2,0
JabRef,org.jabref.logic.openoffice.action,EditInsert,96,0,8,0,23,0,6,0,2,0
JabRef,org.jabref.logic.openoffice.action,Update.SyncOptions,22,0,0,0,9,0,3,0,3,0
JabRef,org.jabref.logic.openoffice.action,ManageCitations,19,0,0,0,5,0,2,0,2,0
JabRef,org.jabref.logic.openoffice.action,EditMerge.JoinableGroupData,9,0,0,0,4,0,1,0,1,0
JabRef,org.jabref.logic.openoffice.action,EditMerge.ScanState,23,0,0,0,9,0,2,0,2,0
JabRef,org.jabref.gui.preferences,PreferenceTabViewModel,4,0,0,0,2,0,2,0,2,0
JabRef,org.jabref.gui.preferences,PreferencesDialogViewModel,454,0,14,0,85,0,20,0,13,0
JabRef,org.jabref.gui.preferences,AbstractPreferenceTabView,21,0,0,0,8,0,6,0,6,0
JabRef,org.jabref.gui.preferences,ShowPreferencesAction,31,0,0,0,10,0,3,0,3,0
JabRef,org.jabref.gui.preferences,PreferencesFilterDialog,155,0,6,0,27,0,13,0,10,0
JabRef,org.jabref.gui.preferences,PreferencesSearchHandler,193,0,22,0,49,0,22,0,11,0
